"Date","Price","Open","High","Low","Change %"
"10/25/2021","1.171","1.207","1.217","1.164","-2.46%"
"10/22/2021","1.201","1.227","1.252","1.192","-2.76%"
"10/21/2021","1.235","1.170","1.243","1.157","5.80%"
"10/20/2021","1.167","1.178","1.193","1.131","0.15%"
"10/19/2021","1.165","1.160","1.170","1.129","0.00%"
"10/18/2021","1.165","1.145","1.193","1.137","3.66%"
"10/15/2021","1.124","1.055","1.127","1.053","6.70%"
"10/14/2021","1.053","1.079","1.086","1.042","-1.96%"
"10/13/2021","1.074","1.068","1.128","1.048","0.32%"
"10/12/2021","1.071","1.092","1.095","1.058","-1.93%"
"10/11/2021","1.092","1.092","1.092","1.092","3.39%"
"10/08/2021","1.056","1.033","1.063","0.996","3.04%"
"10/07/2021","1.025","0.991","1.027","0.981","3.78%"
"10/06/2021","0.988","0.983","1.012","0.973","1.17%"
"10/05/2021","0.976","0.951","0.989","0.944","3.25%"
"10/04/2021","0.946","0.922","0.965","0.920","1.73%"
"10/01/2021","0.930","0.978","0.983","0.928","-4.29%"
"09/30/2021","0.971","0.987","1.026","0.965","-2.42%"
"09/29/2021","0.995","1.028","1.034","0.984","-2.83%"
"09/28/2021","1.024","0.999","1.042","0.991","3.69%"
"09/27/2021","0.988","0.957","0.994","0.939","4.15%"
"09/24/2021","0.948","0.942","0.963","0.919","0.00%"
"09/23/2021","0.948","0.855","0.950","0.855","11.08%"
"09/22/2021","0.854","0.826","0.875","0.820","2.34%"
"09/21/2021","0.834","0.828","0.852","0.810","0.98%"
"09/20/2021","0.826","0.862","0.873","0.811","-4.13%"
"09/17/2021","0.862","0.844","0.883","0.836","2.52%"
"09/16/2021","0.840","0.803","0.848","0.797","5.06%"
"09/15/2021","0.800","0.789","0.811","0.776","1.85%"
"09/14/2021","0.785","0.808","0.831","0.768","-2.59%"
"09/13/2021","0.806","0.816","0.827","0.795","-1.19%"
"09/10/2021","0.816","0.792","0.827","0.787","3.49%"
"09/09/2021","0.789","0.809","0.821","0.774","-2.20%"
"09/08/2021","0.806","0.819","0.826","0.800","-2.14%"
"09/07/2021","0.824","0.792","0.830","0.790","4.27%"
"09/06/2021","0.790","0.790","0.790","0.790","0.61%"
"09/03/2021","0.785","0.769","0.811","0.744","2.09%"
"09/02/2021","0.769","0.780","0.780","0.761","-0.83%"
"09/01/2021","0.776","0.785","0.799","0.760","0.00%"
"08/31/2021","0.775","0.769","0.784","0.756","1.04%"
"08/30/2021","0.767","0.795","0.801","0.766","-4.19%"
"08/27/2021","0.801","0.846","0.864","0.795","-5.84%"
"08/26/2021","0.851","0.833","0.860","0.827","3.21%"
"08/25/2021","0.824","0.798","0.832","0.785","3.27%"
"08/24/2021","0.798","0.774","0.800","0.771","3.60%"
"08/23/2021","0.771","0.788","0.803","0.767","-1.65%"
"08/20/2021","0.783","0.768","0.791","0.754","1.71%"
"08/19/2021","0.770","0.775","0.780","0.739","0.22%"
"08/18/2021","0.768","0.765","0.806","0.760","-0.19%"
"08/17/2021","0.770","0.759","0.775","0.723","1.08%"
"08/16/2021","0.762","0.778","0.778","0.726","-1.87%"
"08/13/2021","0.776","0.826","0.831","0.775","-6.22%"
"08/12/2021","0.828","0.803","0.831","0.792","2.62%"
"08/11/2021","0.807","0.831","0.850","0.784","-2.71%"
"08/10/2021","0.829","0.795","0.831","0.785","3.86%"
"08/09/2021","0.798","0.768","0.803","0.745","3.14%"
