"Date","Price","Open","High","Low","Vol.","Change %"
"04/04/2022","149.76","149.71","149.83","149.50","22.47K","0.04%"
"04/01/2022","149.70","149.75","150.14","149.67","35.58K","0.00%"
"03/31/2022","149.70","149.49","149.73","149.33","31.52K","0.11%"
"03/30/2022","149.54","149.00","149.88","148.82","39.99K","0.34%"
"03/29/2022","149.03","149.21","149.26","148.72","38.36K","-0.08%"
"03/28/2022","149.15","149.48","149.58","149.15","30.95K","-0.22%"
"03/25/2022","149.48","149.60","149.72","149.44","23.98K","-0.11%"
"03/24/2022","149.64","149.76","149.81","149.60","29.06K","-0.08%"
"03/23/2022","149.76","149.86","149.90","149.68","25.54K","-0.07%"
"03/22/2022","149.87","150.03","150.19","149.83","21.27K","-0.04%"
"03/21/2022","149.93","150.16","150.22","149.91","","-0.15%"
"03/20/2022","150.16","150.18","150.18","150.16","","0.06%"
"03/18/2022","150.07","150.11","150.19","149.96","17.42K","-0.03%"
"03/17/2022","150.11","150.05","150.14","149.91","21.74K","0.02%"
"03/16/2022","150.08","150.03","150.15","150.02","21.80K","0.03%"
"03/15/2022","150.03","150.24","150.27","149.92","27.19K","-0.25%"
"03/14/2022","150.41","150.55","150.57","150.41","0.80K","-0.09%"
"03/11/2022","150.55","150.51","150.61","150.33","6.14K","0.03%"
"03/10/2022","150.50","150.83","150.84","150.50","21.10K","-0.22%"
"03/09/2022","150.83","150.97","151.02","150.72","25.89K","-0.10%"
"03/08/2022","150.98","151.07","151.07","150.83","29.68K","-0.07%"
"03/07/2022","151.09","150.90","151.19","150.81","22.57K","0.13%"
"03/04/2022","150.89","150.79","151.15","150.60","39.30K","0.05%"
"03/03/2022","150.81","151.22","151.26","150.67","43.47K","-0.26%"
"03/02/2022","151.21","150.59","151.21","150.58","40.75K","0.41%"
"03/01/2022","150.59","150.50","150.64","150.45","34.46K","0.06%"
"02/28/2022","150.50","150.24","150.54","150.11","24.91K","0.18%"
"02/25/2022","150.23","150.44","150.52","150.20","32.48K","-0.14%"
"02/24/2022","150.44","150.36","150.48","150.15","34.75K","0.15%"
"02/23/2022","150.22","150.33","150.35","150.17","","-0.08%"
"02/22/2022","150.34","150.14","150.36","150.09","26.62K","0.13%"
"02/21/2022","150.14","150.02","150.27","149.99","25.05K","0.07%"
"02/18/2022","150.03","149.90","150.08","149.84","28.86K","0.07%"
"02/17/2022","149.93","149.88","150.07","149.80","38.70K","0.02%"
